ACCOUNT_NUMBER,COMPANY_AREA,GEOGRAPHIC_AREA,MONTH_NAME,YEAR_NAME,MONTH_YEAR,TYPE_OF_ACTIVITY,PRODUCT_COMBO,INTERNET_SPEED,SOURCE_OF_SALE,TYPE_OF_CONNECT_INSTALL,CUSTOMER_DISCONNECT_REASON,MONTHLY_RECURRING_REVENUE,EXPENSE_SALES_AND_MARKETING,EXPENSE_CONNECT_INSTALL,EXPENSE_PRODUCT_SUPPORT,TOTAL_EXPENSE,TOTAL_MARGIN
75918296,MID-ATLANTIC AREA,WEST,FEB,2020,FEB-2020,CONNECT,INTERNET & TV,FASTER,STORE/RETAIL,XFINITY PROFESSIONAL INSTALL,,$75.00,-$18.00,-$12.00,-$20.00,-$50.00,$25.00
75918297,MID-ATLANTIC AREA,NORTH,FEB,2019,FEB-2019,DISCONNECT,INTERNET & TV,FASTER,,,MOVED,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918298,MID-ATLANTIC AREA,SOUTH-EAST,JAN,2020,JAN-2020,CONNECT,INTERNET & TV & PHONE,FASTEST,STORE/RETAIL,XFINITY PROFESSIONAL INSTALL,,$100.00,-$20.00,-$14.00,-$22.00,-$56.00,$44.00
75918299,MID-ATLANTIC AREA,SOUTH,FEB,2019,FEB-2019,DISCONNECT,INTERNET & TV,FASTER,,,MOVED,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918300,MID-ATLANTIC AREA,WEST,JAN,2020,JAN-2020,DISCONNECT,INTERNET & TV,FASTER,,,MOVED,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918301,MID-ATLANTIC AREA,NORTH,JAN,2020,JAN-2020,CONNECT,INTERNET & TV & PHONE,FASTEST,CALL,XFINITY PROFESSIONAL INSTALL,,$100.00,-$20.00,-$14.00,-$22.00,-$56.00,$44.00
75918302,MID-ATLANTIC AREA,NORTH-EAST,FEB,2020,FEB-2020,CONNECT,INTERNET ONLY,FAST,CALL,XFINITY PROFESSIONAL INSTALL,,$50.00,-$15.00,-$10.00,-$5.00,-$30.00,$20.00
75918303,MID-ATLANTIC AREA,NORTH-EAST,FEB,2019,FEB-2019,CONNECT,INTERNET & TV & PHONE,FASTER,CALL,XFINITY PROFESSIONAL INSTALL,,$75.00,-$20.00,-$14.00,-$22.00,-$56.00,$19.00
75918304,MID-ATLANTIC AREA,NORTH-WEST,MAR,2020,MAR-2020,CONNECT,INTERNET & TV,FASTER,ONLINE,CUSTOMER SELF INSTALL,,$75.00,-$18.00,-$5.00,-$20.00,-$43.00,$32.00
75918305,MID-ATLANTIC AREA,SOUTH,MAR,2019,MAR-2019,CONNECT,INTERNET & TV & PHONE,FASTEST,CALL,XFINITY PROFESSIONAL INSTALL,,$100.00,-$20.00,-$14.00,-$22.00,-$56.00,$44.00
75918306,MID-ATLANTIC AREA,SOUTH,JAN,2020,JAN-2020,CONNECT,INTERNET ONLY,FASTEST,CALL,CUSTOMER SELF INSTALL,,$100.00,-$15.00,-$5.00,-$5.00,-$25.00,$75.00
75918307,MID-ATLANTIC AREA,SOUTH,FEB,2020,FEB-2020,CONNECT,INTERNET ONLY,FAST,STORE/RETAIL,XFINITY PROFESSIONAL INSTALL,,$50.00,-$15.00,-$10.00,-$5.00,-$30.00,$20.00
75918308,MID-ATLANTIC AREA,NORTH-WEST,FEB,2020,FEB-2020,CONNECT,INTERNET ONLY,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$15.00,-$10.00,-$5.00,-$30.00,$45.00
75918309,MID-ATLANTIC AREA,NORTH-WEST,MAR,2020,MAR-2020,CONNECT,INTERNET ONLY,FASTEST,ONLINE,CUSTOMER SELF INSTALL,,$100.00,-$15.00,-$5.00,-$5.00,-$25.00,$75.00
75918310,MID-ATLANTIC AREA,WEST,FEB,2020,FEB-2020,DISCONNECT,INTERNET & TV & PHONE,FASTEST,,,MOVED,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75918311,MID-ATLANTIC AREA,SOUTH,MAR,2020,MAR-2020,DISCONNECT,INTERNET ONLY,FAST,,,UNKNOWN,-$50.00,$0.00,$0.00,$0.00,$0.00,-$50.00
75918312,MID-ATLANTIC AREA,NORTH,MAR,2020,MAR-2020,CONNECT,INTERNET & TV & PHONE,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$20.00,-$14.00,-$22.00,-$56.00,$19.00
75918313,MID-ATLANTIC AREA,NORTH-WEST,MAR,2020,MAR-2020,CONNECT,INTERNET & TV,FASTER,CALL,XFINITY PROFESSIONAL INSTALL,,$75.00,-$18.00,-$12.00,-$20.00,-$50.00,$25.00
75918314,MID-ATLANTIC AREA,NORTH-EAST,FEB,2020,FEB-2020,DISCONNECT,INTERNET & TV,FASTER,,,MOVED,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918315,MID-ATLANTIC AREA,NORTH-WEST,JAN,2019,JAN-2019,CONNECT,INTERNET & TV,FASTER,ONLINE,CUSTOMER SELF INSTALL,,$75.00,-$18.00,-$5.00,-$20.00,-$43.00,$32.00
75918316,MID-ATLANTIC AREA,NORTH-WEST,MAR,2020,MAR-2020,DISCONNECT,INTERNET & TV,FASTER,,,UNKNOWN,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918317,MID-ATLANTIC AREA,NORTH,JAN,2019,JAN-2019,DISCONNECT,INTERNET & TV & PHONE,FASTER,,,MOVED,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918318,MID-ATLANTIC AREA,NORTH,FEB,2020,FEB-2020,CONNECT,INTERNET & TV & PHONE,FASTEST,ONLINE,CUSTOMER SELF INSTALL,,$100.00,-$20.00,-$5.00,-$22.00,-$47.00,$53.00
75918319,MID-ATLANTIC AREA,NORTH-WEST,MAR,2019,MAR-2019,DISCONNECT,INTERNET & TV,FASTER,,,MOVED,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918320,MID-ATLANTIC AREA,EAST,FEB,2019,FEB-2019,DISCONNECT,INTERNET & TV & PHONE,FASTER,,,UNKNOWN,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918321,MID-ATLANTIC AREA,SOUTH,MAR,2019,MAR-2019,CONNECT,INTERNET & TV & PHONE,FASTEST,CALL,XFINITY PROFESSIONAL INSTALL,,$100.00,-$20.00,-$14.00,-$22.00,-$56.00,$44.00
75918322,MID-ATLANTIC AREA,NORTH,FEB,2020,FEB-2020,DISCONNECT,INTERNET ONLY,FASTER,,,UNKNOWN,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918323,MID-ATLANTIC AREA,SOUTH,MAR,2020,MAR-2020,CONNECT,INTERNET & TV,FASTER,CALL,CUSTOMER SELF INSTALL,,$75.00,-$18.00,-$5.00,-$20.00,-$43.00,$32.00
75918324,MID-ATLANTIC AREA,NORTH-EAST,FEB,2020,FEB-2020,DISCONNECT,INTERNET & TV,FASTER,,,MOVED,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918325,MID-ATLANTIC AREA,SOUTH-WEST,MAR,2020,MAR-2020,CONNECT,INTERNET & TV & PHONE,FASTER,CALL,CUSTOMER SELF INSTALL,,$75.00,-$20.00,-$5.00,-$22.00,-$47.00,$28.00
75918326,MID-ATLANTIC AREA,NORTH,MAR,2019,MAR-2019,CONNECT,INTERNET & TV,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$18.00,-$12.00,-$20.00,-$50.00,$25.00
75918327,MID-ATLANTIC AREA,WEST,JAN,2020,JAN-2020,CONNECT,INTERNET & TV,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$18.00,-$12.00,-$20.00,-$50.00,$25.00
75918328,MID-ATLANTIC AREA,NORTH-WEST,FEB,2020,FEB-2020,CONNECT,INTERNET & TV,FASTER,CALL,CUSTOMER SELF INSTALL,,$75.00,-$18.00,-$5.00,-$20.00,-$43.00,$32.00
75918329,MID-ATLANTIC AREA,SOUTH,FEB,2020,FEB-2020,DISCONNECT,INTERNET & TV,FASTER,,,UNKNOWN,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918330,MID-ATLANTIC AREA,NORTH-WEST,JAN,2020,JAN-2020,DISCONNECT,INTERNET ONLY,FASTEST,,,UNKNOWN,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75918331,MID-ATLANTIC AREA,WEST,JAN,2019,JAN-2019,CONNECT,INTERNET ONLY,FASTEST,ONLINE,XFINITY PROFESSIONAL INSTALL,,$100.00,-$15.00,-$10.00,-$5.00,-$30.00,$70.00
75918332,MID-ATLANTIC AREA,SOUTH-WEST,MAR,2020,MAR-2020,CONNECT,INTERNET & TV,FASTEST,CALL,CUSTOMER SELF INSTALL,,$100.00,-$18.00,-$5.00,-$20.00,-$43.00,$57.00
75918333,MID-ATLANTIC AREA,WEST,MAR,2019,MAR-2019,DISCONNECT,INTERNET & TV,FASTEST,,,UNKNOWN,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75918334,MID-ATLANTIC AREA,NORTH-WEST,MAR,2019,MAR-2019,CONNECT,INTERNET & TV & PHONE,FASTEST,CALL,XFINITY PROFESSIONAL INSTALL,,$100.00,-$20.00,-$14.00,-$22.00,-$56.00,$44.00
75918335,MID-ATLANTIC AREA,NORTH,JAN,2020,JAN-2020,CONNECT,INTERNET ONLY,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$15.00,-$10.00,-$5.00,-$30.00,$45.00
75918336,MID-ATLANTIC AREA,SOUTH,JAN,2020,JAN-2020,DISCONNECT,INTERNET & TV & PHONE,FASTEST,,,MOVED,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75918337,MID-ATLANTIC AREA,NORTH-EAST,FEB,2020,FEB-2020,CONNECT,INTERNET ONLY,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$15.00,-$10.00,-$5.00,-$30.00,$45.00
75918338,MID-ATLANTIC AREA,WEST,MAR,2019,MAR-2019,DISCONNECT,INTERNET & TV,FASTER,,,UNKNOWN,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918339,MID-ATLANTIC AREA,EAST,JAN,2020,JAN-2020,CONNECT,INTERNET & TV & PHONE,FASTEST,CALL,XFINITY PROFESSIONAL INSTALL,,$100.00,-$20.00,-$14.00,-$22.00,-$56.00,$44.00
75918340,MID-ATLANTIC AREA,SOUTH-WEST,JAN,2020,JAN-2020,DISCONNECT,INTERNET & TV,FASTEST,,,MOVED,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75918341,MID-ATLANTIC AREA,SOUTH,JAN,2020,JAN-2020,DISCONNECT,INTERNET ONLY,FAST,,,UNKNOWN,-$50.00,$0.00,$0.00,$0.00,$0.00,-$50.00
75918342,MID-ATLANTIC AREA,NORTH-EAST,FEB,2019,FEB-2019,CONNECT,INTERNET ONLY,FASTEST,CALL,XFINITY PROFESSIONAL INSTALL,,$100.00,-$15.00,-$10.00,-$5.00,-$30.00,$70.00
75918343,MID-ATLANTIC AREA,NORTH,FEB,2020,FEB-2020,CONNECT,INTERNET ONLY,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$15.00,-$10.00,-$5.00,-$30.00,$45.00
75918344,MID-ATLANTIC AREA,NORTH,JAN,2020,JAN-2020,DISCONNECT,INTERNET & TV,FASTER,,,UNKNOWN,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918345,MID-ATLANTIC AREA,SOUTH,JAN,2020,JAN-2020,CONNECT,INTERNET ONLY,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$15.00,-$10.00,-$5.00,-$30.00,$45.00
75918346,MID-ATLANTIC AREA,EAST,FEB,2020,FEB-2020,CONNECT,INTERNET & TV,FASTER,ONLINE,CUSTOMER SELF INSTALL,,$75.00,-$18.00,-$5.00,-$20.00,-$43.00,$32.00
75918347,MID-ATLANTIC AREA,NORTH-WEST,MAR,2019,MAR-2019,DISCONNECT,INTERNET ONLY,FASTEST,,,MOVED,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75918348,MID-ATLANTIC AREA,NORTH-EAST,FEB,2019,FEB-2019,DISCONNECT,INTERNET ONLY,FASTER,,,MOVED,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918349,MID-ATLANTIC AREA,NORTH-WEST,MAR,2020,MAR-2020,DISCONNECT,INTERNET & TV,FASTEST,,,UNKNOWN,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75918350,MID-ATLANTIC AREA,NORTH-EAST,FEB,2019,FEB-2019,DISCONNECT,INTERNET & TV,FASTER,,,UNKNOWN,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918351,MID-ATLANTIC AREA,WEST,JAN,2019,JAN-2019,CONNECT,INTERNET ONLY,FASTEST,ONLINE,XFINITY PROFESSIONAL INSTALL,,$100.00,-$15.00,-$10.00,-$5.00,-$30.00,$70.00
75918352,MID-ATLANTIC AREA,EAST,FEB,2019,FEB-2019,DISCONNECT,INTERNET ONLY,FASTER,,,MOVED,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918353,MID-ATLANTIC AREA,NORTH-WEST,JAN,2019,JAN-2019,CONNECT,INTERNET & TV,FASTER,CALL,XFINITY PROFESSIONAL INSTALL,,$75.00,-$18.00,-$12.00,-$20.00,-$50.00,$25.00
75918354,MID-ATLANTIC AREA,EAST,FEB,2020,FEB-2020,CONNECT,INTERNET ONLY,FAST,CALL,XFINITY PROFESSIONAL INSTALL,,$50.00,-$15.00,-$10.00,-$5.00,-$30.00,$20.00
75918355,MID-ATLANTIC AREA,SOUTH-EAST,FEB,2019,FEB-2019,CONNECT,INTERNET & TV & PHONE,FASTEST,ONLINE,XFINITY PROFESSIONAL INSTALL,,$100.00,-$20.00,-$14.00,-$22.00,-$56.00,$44.00
75918356,MID-ATLANTIC AREA,NORTH,JAN,2020,JAN-2020,DISCONNECT,INTERNET & TV,FASTEST,,,UNKNOWN,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75918357,MID-ATLANTIC AREA,SOUTH,FEB,2020,FEB-2020,DISCONNECT,INTERNET ONLY,FASTEST,,,MOVED,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75918358,MID-ATLANTIC AREA,WEST,FEB,2019,FEB-2019,CONNECT,INTERNET & TV,FASTER,CALL,XFINITY PROFESSIONAL INSTALL,,$75.00,-$18.00,-$12.00,-$20.00,-$50.00,$25.00
75918359,MID-ATLANTIC AREA,SOUTH-WEST,JAN,2019,JAN-2019,CONNECT,INTERNET ONLY,FASTER,CALL,XFINITY PROFESSIONAL INSTALL,,$75.00,-$15.00,-$10.00,-$5.00,-$30.00,$45.00
75918360,MID-ATLANTIC AREA,NORTH,JAN,2020,JAN-2020,DISCONNECT,INTERNET ONLY,FASTEST,,,UNKNOWN,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75918361,MID-ATLANTIC AREA,NORTH-WEST,MAR,2020,MAR-2020,CONNECT,INTERNET ONLY,FASTER,ONLINE,CUSTOMER SELF INSTALL,,$75.00,-$15.00,-$5.00,-$5.00,-$25.00,$50.00
75918362,MID-ATLANTIC AREA,NORTH,FEB,2019,FEB-2019,DISCONNECT,INTERNET & TV,FASTER,,,UNKNOWN,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918363,MID-ATLANTIC AREA,SOUTH,MAR,2019,MAR-2019,CONNECT,INTERNET ONLY,FASTER,CALL,CUSTOMER SELF INSTALL,,$75.00,-$15.00,-$5.00,-$5.00,-$25.00,$50.00
75918364,MID-ATLANTIC AREA,NORTH-WEST,FEB,2019,FEB-2019,DISCONNECT,INTERNET ONLY,FASTER,,,MOVED,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918365,MID-ATLANTIC AREA,NORTH-EAST,JAN,2019,JAN-2019,DISCONNECT,INTERNET & TV,FASTEST,,,MOVED,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75918366,MID-ATLANTIC AREA,SOUTH,MAR,2019,MAR-2019,DISCONNECT,INTERNET ONLY,FASTEST,,,MOVED,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75918367,MID-ATLANTIC AREA,SOUTH,MAR,2020,MAR-2020,DISCONNECT,INTERNET ONLY,FASTEST,,,UNKNOWN,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75918368,MID-ATLANTIC AREA,NORTH-WEST,FEB,2020,FEB-2020,DISCONNECT,INTERNET ONLY,FASTEST,,,UNKNOWN,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75918369,MID-ATLANTIC AREA,SOUTH,JAN,2019,JAN-2019,CONNECT,INTERNET ONLY,FAST,CALL,CUSTOMER SELF INSTALL,,$50.00,-$15.00,-$5.00,-$5.00,-$25.00,$25.00
75918370,MID-ATLANTIC AREA,EAST,MAR,2019,MAR-2019,CONNECT,INTERNET & TV,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$18.00,-$12.00,-$20.00,-$50.00,$25.00
75918371,MID-ATLANTIC AREA,NORTH-WEST,MAR,2020,MAR-2020,DISCONNECT,INTERNET ONLY,FASTER,,,MOVED,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918372,MID-ATLANTIC AREA,NORTH-EAST,JAN,2019,JAN-2019,DISCONNECT,INTERNET & TV,FASTER,,,MOVED,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918373,MID-ATLANTIC AREA,NORTH-WEST,FEB,2019,FEB-2019,CONNECT,INTERNET & TV,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$18.00,-$12.00,-$20.00,-$50.00,$25.00
75918374,MID-ATLANTIC AREA,NORTH,MAR,2019,MAR-2019,DISCONNECT,INTERNET ONLY,FASTEST,,,UNKNOWN,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75918375,MID-ATLANTIC AREA,SOUTH-EAST,JAN,2020,JAN-2020,CONNECT,INTERNET & TV & PHONE,FASTER,CALL,CUSTOMER SELF INSTALL,,$75.00,-$20.00,-$5.00,-$22.00,-$47.00,$28.00
75918376,MID-ATLANTIC AREA,WEST,JAN,2020,JAN-2020,CONNECT,INTERNET & TV,FASTER,DOOR TO DOOR,CUSTOMER SELF INSTALL,,$75.00,-$18.00,-$5.00,-$20.00,-$43.00,$32.00
75918377,MID-ATLANTIC AREA,NORTH,FEB,2019,FEB-2019,CONNECT,INTERNET ONLY,FAST,ONLINE,XFINITY PROFESSIONAL INSTALL,,$50.00,-$15.00,-$10.00,-$5.00,-$30.00,$20.00
75918378,MID-ATLANTIC AREA,SOUTH-WEST,JAN,2020,JAN-2020,CONNECT,INTERNET ONLY,FASTER,STORE/RETAIL,XFINITY PROFESSIONAL INSTALL,,$75.00,-$15.00,-$10.00,-$5.00,-$30.00,$45.00
75918379,MID-ATLANTIC AREA,SOUTH-EAST,JAN,2020,JAN-2020,DISCONNECT,INTERNET ONLY,FASTER,,,MOVED,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918380,MID-ATLANTIC AREA,SOUTH,MAR,2020,MAR-2020,CONNECT,INTERNET ONLY,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$15.00,-$10.00,-$5.00,-$30.00,$45.00
75918381,MID-ATLANTIC AREA,SOUTH-WEST,MAR,2019,MAR-2019,CONNECT,INTERNET & TV & PHONE,FASTEST,CALL,XFINITY PROFESSIONAL INSTALL,,$100.00,-$20.00,-$14.00,-$22.00,-$56.00,$44.00
75918382,MID-ATLANTIC AREA,EAST,MAR,2019,MAR-2019,CONNECT,INTERNET & TV & PHONE,FASTER,CALL,XFINITY PROFESSIONAL INSTALL,,$75.00,-$20.00,-$14.00,-$22.00,-$56.00,$19.00
75918383,MID-ATLANTIC AREA,NORTH-WEST,JAN,2019,JAN-2019,CONNECT,INTERNET ONLY,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$15.00,-$10.00,-$5.00,-$30.00,$45.00
75918384,MID-ATLANTIC AREA,NORTH,MAR,2019,MAR-2019,CONNECT,INTERNET & TV & PHONE,FASTEST,ONLINE,XFINITY PROFESSIONAL INSTALL,,$100.00,-$20.00,-$14.00,-$22.00,-$56.00,$44.00
75918385,MID-ATLANTIC AREA,EAST,MAR,2020,MAR-2020,CONNECT,INTERNET & TV & PHONE,FASTEST,CALL,CUSTOMER SELF INSTALL,,$100.00,-$20.00,-$5.00,-$22.00,-$47.00,$53.00
75918386,MID-ATLANTIC AREA,WEST,JAN,2019,JAN-2019,CONNECT,INTERNET ONLY,FASTER,STORE/RETAIL,CUSTOMER SELF INSTALL,,$75.00,-$15.00,-$5.00,-$5.00,-$25.00,$50.00
75918387,MID-ATLANTIC AREA,SOUTH,MAR,2020,MAR-2020,CONNECT,INTERNET ONLY,FASTER,CALL,CUSTOMER SELF INSTALL,,$75.00,-$15.00,-$5.00,-$5.00,-$25.00,$50.00
75918388,MID-ATLANTIC AREA,NORTH-EAST,FEB,2019,FEB-2019,DISCONNECT,INTERNET & TV,FASTER,,,COMPETITION,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918389,MID-ATLANTIC AREA,WEST,FEB,2019,FEB-2019,CONNECT,INTERNET ONLY,FASTEST,ONLINE,XFINITY PROFESSIONAL INSTALL,,$100.00,-$15.00,-$10.00,-$5.00,-$30.00,$70.00
75918390,MID-ATLANTIC AREA,NORTH,FEB,2020,FEB-2020,CONNECT,INTERNET & TV & PHONE,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$20.00,-$14.00,-$22.00,-$56.00,$19.00
75918391,MID-ATLANTIC AREA,NORTH-EAST,JAN,2020,JAN-2020,CONNECT,INTERNET ONLY,FAST,CALL,XFINITY PROFESSIONAL INSTALL,,$50.00,-$15.00,-$10.00,-$5.00,-$30.00,$20.00
75918392,MID-ATLANTIC AREA,NORTH-EAST,JAN,2019,JAN-2019,DISCONNECT,INTERNET & TV,FASTER,,,COMPETITION,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918393,MID-ATLANTIC AREA,WEST,FEB,2020,FEB-2020,CONNECT,INTERNET ONLY,FASTER,STORE/RETAIL,CUSTOMER SELF INSTALL,,$75.00,-$15.00,-$5.00,-$5.00,-$25.00,$50.00
75918394,MID-ATLANTIC AREA,NORTH-WEST,MAR,2019,MAR-2019,CONNECT,INTERNET ONLY,FASTER,CALL,XFINITY PROFESSIONAL INSTALL,,$75.00,-$15.00,-$10.00,-$5.00,-$30.00,$45.00
75918395,MID-ATLANTIC AREA,SOUTH,MAR,2020,MAR-2020,CONNECT,INTERNET ONLY,FAST,CALL,CUSTOMER SELF INSTALL,,$50.00,-$15.00,-$5.00,-$5.00,-$25.00,$25.00
75918396,MID-ATLANTIC AREA,NORTH,MAR,2019,MAR-2019,DISCONNECT,INTERNET ONLY,FAST,,,UNKNOWN,-$50.00,$0.00,$0.00,$0.00,$0.00,-$50.00
75918397,MID-ATLANTIC AREA,EAST,MAR,2019,MAR-2019,CONNECT,INTERNET & TV,FASTEST,CALL,CUSTOMER SELF INSTALL,,$100.00,-$18.00,-$5.00,-$20.00,-$43.00,$57.00
75918398,MID-ATLANTIC AREA,SOUTH,FEB,2020,FEB-2020,CONNECT,INTERNET ONLY,FASTER,ONLINE,CUSTOMER SELF INSTALL,,$75.00,-$15.00,-$5.00,-$5.00,-$25.00,$50.00
75918399,MID-ATLANTIC AREA,NORTH,JAN,2020,JAN-2020,CONNECT,INTERNET ONLY,FASTER,DOOR TO DOOR,XFINITY PROFESSIONAL INSTALL,,$75.00,-$15.00,-$10.00,-$5.00,-$30.00,$45.00
75918400,MID-ATLANTIC AREA,SOUTH,JAN,2019,JAN-2019,CONNECT,INTERNET & TV,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$18.00,-$12.00,-$20.00,-$50.00,$25.00
75918401,MID-ATLANTIC AREA,SOUTH,FEB,2020,FEB-2020,CONNECT,INTERNET & TV,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$18.00,-$12.00,-$20.00,-$50.00,$25.00
75918402,MID-ATLANTIC AREA,NORTH,JAN,2019,JAN-2019,CONNECT,INTERNET & TV,FASTEST,CALL,XFINITY PROFESSIONAL INSTALL,,$100.00,-$18.00,-$12.00,-$20.00,-$50.00,$50.00
75918403,MID-ATLANTIC AREA,SOUTH-EAST,JAN,2019,JAN-2019,CONNECT,INTERNET & TV & PHONE,FASTEST,DOOR TO DOOR,CUSTOMER SELF INSTALL,,$100.00,-$20.00,-$5.00,-$22.00,-$47.00,$53.00
75918404,MID-ATLANTIC AREA,NORTH-EAST,FEB,2020,FEB-2020,DISCONNECT,INTERNET & TV & PHONE,FASTER,,,SERVICE,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918405,MID-ATLANTIC AREA,EAST,MAR,2020,MAR-2020,CONNECT,INTERNET & TV,FASTER,CALL,XFINITY PROFESSIONAL INSTALL,,$75.00,-$18.00,-$12.00,-$20.00,-$50.00,$25.00
75918406,MID-ATLANTIC AREA,SOUTH-EAST,FEB,2019,FEB-2019,CONNECT,INTERNET & TV,FASTER,ONLINE,XFINITY PROFESSIONAL INSTALL,,$75.00,-$18.00,-$12.00,-$20.00,-$50.00,$25.00
75918407,MID-ATLANTIC AREA,WEST,FEB,2020,FEB-2020,CONNECT,INTERNET & TV & PHONE,FASTEST,CALL,XFINITY PROFESSIONAL INSTALL,,$100.00,-$20.00,-$14.00,-$22.00,-$56.00,$44.00
75918408,MID-ATLANTIC AREA,NORTH-WEST,FEB,2020,FEB-2020,CONNECT,INTERNET & TV,FASTER,CALL,CUSTOMER SELF INSTALL,,$75.00,-$18.00,-$5.00,-$20.00,-$43.00,$32.00
75918409,MID-ATLANTIC AREA,WEST,JAN,2020,JAN-2020,CONNECT,INTERNET & TV & PHONE,FASTER,STORE/RETAIL,XFINITY PROFESSIONAL INSTALL,,$75.00,-$20.00,-$14.00,-$22.00,-$56.00,$19.00
75918410,MID-ATLANTIC AREA,WEST,FEB,2020,FEB-2020,DISCONNECT,INTERNET & TV & PHONE,FASTER,,,MOVED,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918411,MID-ATLANTIC AREA,WEST,MAR,2020,MAR-2020,DISCONNECT,INTERNET & TV & PHONE,FASTEST,,,UNKNOWN,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75918412,MID-ATLANTIC AREA,WEST,MAR,2019,MAR-2019,DISCONNECT,INTERNET & TV,FASTER,,,MOVED,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918413,MID-ATLANTIC AREA,WEST,FEB,2020,FEB-2020,DISCONNECT,INTERNET ONLY,FASTEST,,,MOVED,-$100.00,$0.00,$0.00,$0.00,$0.00,-$100.00
75918414,MID-ATLANTIC AREA,SOUTH,FEB,2019,FEB-2019,CONNECT,INTERNET & TV & PHONE,FASTEST,CALL,XFINITY PROFESSIONAL INSTALL,,$100.00,-$20.00,-$14.00,-$22.00,-$56.00,$44.00
75918415,MID-ATLANTIC AREA,SOUTH-EAST,MAR,2019,MAR-2019,DISCONNECT,INTERNET & TV & PHONE,FASTER,,,MOVED,-$75.00,$0.00,$0.00,$0.00,$0.00,-$75.00
75918416,MID-ATLANTIC AREA,WEST,FEB,2019,FEB-2019,DISCONNECT,INTERNET ONLY,FAST,,,MOVED,-$50.00,$0.00,$0.00,$0.00,$0.00,-$50.00
